City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Angoche,MZ,77.76,light rain,-16.2325,39.9086,Guest House HESADA
402,Voh,NC,81.03,broken clouds,-20.9667,164.7,Le gîte du Koniambo
407,Iquitos,PE,75.24,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
409,Ko Samui,TH,87.71,few clouds,9.5357,99.9357,The Passage
412,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
413,Mormugao,IN,81.66,broken clouds,15.4,73.8,Coconut Creek Resort
420,Mindelo,CV,76.55,clear sky,16.8901,-24.9804,Hotel Gaudi
430,Chaozhou,CN,76.86,few clouds,23.6651,116.6379,Seven Corner View Homestay
431,Maragogi,BR,77.56,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
433,Honiara,SB,85.87,clear sky,-9.4333,159.95,Heritage Park Hotel
446,Pochutla,MX,76.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
453,Bac Lieu,VN,85.68,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
460,Byron Bay,AU,77.05,moderate rain,-28.65,153.6167,Backpackers Inn on the Beach
465,Labuhan,ID,86.22,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
466,Sabang,ID,81.28,overcast clouds,5.8933,95.3214,Hotel Citra
467,Mambolo,SL,77.18,clear sky,8.9231,-13.0444,
468,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
476,Tabuk,PH,83.89,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
482,Sorong,ID,84.81,light rain,-0.8833,131.25,Waigo Splash Hotel
488,Atambua,ID,86.07,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
491,Kieta,PG,84.06,light rain,-6.2167,155.6333,Uruna Bay Retreat
494,Mayumba,GA,75.43,overcast clouds,-3.432,10.6554,LIKWALE LODGE
497,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
503,Calabozo,VE,79.45,overcast clouds,8.9242,-67.4293,Hotel Giardini
506,Morondava,MG,79.23,clear sky,-20.2833,44.2833,La Case Bambou
507,Bowen,AU,79.84,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
508,Neyyattinkara,IN,84.06,broken clouds,8.4,77.0833,P.W.D. Rest House
513,Tirumullaivasal,IN,81.36,scattered clouds,11.2333,79.8333,Almupaark complex
526,Myitkyina,MM,78.55,clear sky,25.3833,97.4,Shwe Phyu Hotel
527,Mitsamiouli,KM,80.17,clear sky,-11.3847,43.2844,Foyer ADM
532,Hirara,JP,77.18,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
534,Poum,NC,77.13,few clouds,-20.2333,164.0167,Gîte kajeon
539,Sulangan,PH,84.33,overcast clouds,11.1373,123.7228,Maia's Beach Resort
545,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
546,Mangrol,IN,82.76,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
566,Nishihara,JP,80.26,few clouds,26.1842,127.7558,Minshuku Agaihama
567,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
569,Mahajanga,MG,80.62,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
571,Santo Domingo,DO,77.94,scattered clouds,18.5001,-69.9886,Cabañas City Heart
574,Sungaipenuh,ID,76.23,overcast clouds,-2.0833,101.3833,penginapan citra alam
581,Pangai,TO,81.68,clear sky,-19.8,-174.35,Ha'apai Beach Resort
585,Bahia Honda,CU,76.12,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
588,Kapoeta,SS,79.21,light rain,4.7717,33.5903,Eastgate Hotel
590,Saint-Joseph,RE,79.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
592,Black River,JM,78.8,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
