City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Peterhead,GB,57.5058,-1.7981,40.12,66,84,29.62,broken clouds
158,Mar Del Plata,AR,-38.0023,-57.5575,73.09,68,99,3.0,overcast clouds
159,Dikson,RU,73.5069,80.5464,-9.51,81,43,16.28,scattered clouds
160,Port Alfred,ZA,-33.5906,26.891,64.45,86,99,17.45,overcast clouds
161,Leningradskiy,RU,69.3833,178.4167,-12.8,88,7,3.29,clear sky
162,Rudnichnyy,RU,59.617,52.4703,25.41,96,100,6.4,light snow
163,Springbok,ZA,-29.6643,17.8865,52.59,68,7,3.33,clear sky
164,Port-Gentil,GA,-0.7193,8.7815,75.94,93,100,9.26,moderate rain
165,Lazaro Cardenas,MX,17.9583,-102.2,76.28,80,1,3.74,clear sky
166,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,55,0,13.8,clear sky
167,Jamestown,US,42.097,-79.2353,42.39,64,40,6.91,scattered clouds
168,Victoria,HK,22.2855,114.1577,78.85,81,10,3.0,clear sky
169,Hay River,CA,60.8156,-115.7999,-1.16,89,73,4.45,broken clouds
170,Rosamorada,MX,22.1222,-105.2058,69.33,80,6,2.73,clear sky
171,Cherskiy,RU,68.75,161.3,-21.66,100,99,1.97,overcast clouds
172,Qinhuangdao,CN,39.9317,119.5883,41.58,73,78,13.15,broken clouds
173,Lusambo,CD,-4.9667,23.45,67.19,99,91,0.96,overcast clouds
174,Babstovo,RU,48.1167,132.4833,21.6,78,67,4.88,broken clouds
175,Laguna,US,38.421,-121.4238,58.96,83,1,1.99,clear sky
176,Zhigansk,RU,66.7697,123.3711,-26.34,99,89,2.89,overcast clouds
177,Tugulym,RU,57.0591,64.6425,21.27,81,100,12.82,overcast clouds
178,Hofn,IS,64.2539,-15.2082,34.63,55,100,5.35,overcast clouds
179,Touba,CI,8.2833,-7.6833,70.93,59,9,2.91,clear sky
180,Coolum Beach,AU,-26.5333,153.1,84.34,76,99,12.71,overcast clouds
181,Eirunepe,BR,-6.6603,-69.8736,72.75,99,100,1.41,overcast clouds
182,Ganzhou,CN,28.8184,115.4327,58.89,92,100,5.23,overcast clouds
183,Imbituba,BR,-28.24,-48.6703,66.81,85,0,8.37,clear sky
184,Manta,EC,-0.95,-80.7333,71.38,83,90,8.05,overcast clouds
185,Sambava,MG,-14.2667,50.1667,77.58,69,34,5.39,scattered clouds
186,Tutoia,BR,-2.7619,-42.2744,80.69,84,90,13.91,overcast clouds
187,Geraldton,AU,-28.7667,114.6,75.61,60,75,20.71,broken clouds
188,San Cristobal,VE,7.7669,-72.225,69.98,88,93,1.5,overcast clouds
189,Obo,CF,5.3998,26.4869,70.12,78,41,3.67,scattered clouds
190,Curup,ID,-3.4667,102.5333,78.93,69,100,4.05,overcast clouds
191,Iqaluit,CA,63.7506,-68.5145,11.93,73,90,12.66,light snow
192,Thompson,CA,55.7435,-97.8558,10.24,86,94,12.95,overcast clouds
193,Carazinho,BR,-28.2839,-52.7864,58.32,57,0,7.81,clear sky
194,Pisco,PE,-13.7,-76.2167,64.45,82,0,2.3,clear sky
195,Moree,AU,-29.4667,149.85,69.82,88,75,16.11,light rain
196,Khatanga,RU,71.9667,102.5,-20.67,99,100,5.12,overcast clouds
197,Chokurdakh,RU,70.6333,147.9167,-18.17,100,98,6.02,overcast clouds
198,Tamandare,BR,-8.7597,-35.1047,77.63,79,56,9.26,broken clouds
199,Ahipara,NZ,-35.1667,173.1667,71.55,69,64,9.17,broken clouds
200,Sawakin,SD,19.1059,37.3321,77.86,71,77,11.21,broken clouds
201,Samarai,PG,-10.6167,150.6667,83.07,77,36,10.2,scattered clouds
202,La Serena,CL,-29.9078,-71.2542,56.71,94,90,8.05,overcast clouds
